REF_DATE,GEO,Age (15C),Gender (3),Statistics (2),Coordinate,Immigrant status and period of immigration (9),Symbol,Non-immigrants[2],Symbol,Immigrants[3],Symbol,Before 2001[4],Symbol,2001 to 2005[5],Symbol,2006 to 2010[6],Symbol,2011 to 2015[7],Symbol,2016 to 2021[8],Symbol,Non-permanent residents[9],Symbol
2021,Canada,Total - Age,Total - Gender,2021 Counts,1.1.1.1,36328475,,27042120,,8361505,,3976410,,911240,,1019285,,1126330,,1328240,,924845,
2021,Canada,Total - Age,Total - Gender,% distribution (2021),1.1.1.2,100,,74.4,,23,,10.9,,2.5,,2.8,,3.1,,3.7,,2.5,
2021,Canada,Total - Age,Men+,2021 Counts,1.1.2.1,17937165,,13461515,,3976160,,1883460,,430610,,480580,,536615,,644900,,499490,
2021,Canada,Total - Age,Men+,% distribution (2021),1.1.2.2,49.4,,37.1,,10.9,,5.2,,1.2,,1.3,,1.5,,1.8,,1.4,
2021,Canada,Total - Age,Women+,2021 Counts,1.1.3.1,18391315,,13580610,,4385345,,2092950,,480635,,538705,,589715,,683340,,425360,
2021,Canada,Total - Age,Women+,% distribution (2021),1.1.3.2,50.6,,37.4,,12.1,,5.8,,1.3,,1.5,,1.6,,1.9,,1.2,
2021,Canada,0 to 14 years,Total - Gender,2021 Counts,1.2.1.1,5992560,,5523430,,381410,,0,,0,,31955,,122740,,226715,,87720,
2021,Canada,0 to 14 years,Total - Gender,% distribution (2021),1.2.1.2,16.5,,15.2,,1,,0,,0,,0.1,,0.3,,0.6,,0.2,
2021,Canada,0 to 14 years,Men+,2021 Counts,1.2.2.1,3075920,,2833735,,196695,,0,,0,,16680,,62840,,117170,,45495,
2021,Canada,0 to 14 years,Men+,% distribution (2021),1.2.2.2,8.5,,7.8,,0.5,,0,,0,,0,,0.2,,0.3,,0.1,
2021,Canada,0 to 14 years,Women+,2021 Counts,1.2.3.1,2916640,,2689695,,184715,,0,,0,,15270,,59895,,109545,,42225,
2021,Canada,0 to 14 years,Women+,% distribution (2021),1.2.3.2,8,,7.4,,0.5,,0,,0,,0,,0.2,,0.3,,0.1,
2021,Canada,15 years and over,Total - Gender,2021 Counts,1.3.1.1,30335920,,21518690,,7980095,,3976410,,911240,,987330,,1003595,,1101520,,837130,
2021,Canada,15 years and over,Total - Gender,% distribution (2021),1.3.1.2,83.5,,59.2,,22,,10.9,,2.5,,2.7,,2.8,,3,,2.3,
2021,Canada,15 years and over,Men+,2021 Counts,1.3.2.1,14861245,,10627780,,3779470,,1883460,,430610,,463895,,473775,,527730,,454000,
2021,Canada,15 years and over,Men+,% distribution (2021),1.3.2.2,40.9,,29.3,,10.4,,5.2,,1.2,,1.3,,1.3,,1.5,,1.2,
2021,Canada,15 years and over,Women+,2021 Counts,1.3.3.1,15474675,,10890915,,4200630,,2092950,,480635,,523435,,529820,,573795,,383135,
2021,Canada,15 years and over,Women+,% distribution (2021),1.3.3.2,42.6,,30,,11.6,,5.8,,1.3,,1.4,,1.5,,1.6,,1.1,
2021,Canada,15 to 24 years,Total - Gender,2021 Counts,1.4.1.1,4181055,,3320025,,585185,,21400,,104830,,158220,,155785,,144945,,275850,
2021,Canada,15 to 24 years,Total - Gender,% distribution (2021),1.4.1.2,11.5,,9.1,,1.6,,0.1,,0.3,,0.4,,0.4,,0.4,,0.8,
2021,Canada,15 to 24 years,Men+,2021 Counts,1.4.2.1,2161145,,1708025,,300640,,10670,,53915,,82335,,80620,,73105,,152475,
2021,Canada,15 to 24 years,Men+,% distribution (2021),1.4.2.2,5.9,,4.7,,0.8,,0,,0.1,,0.2,,0.2,,0.2,,0.4,
2021,Canada,15 to 24 years,Women+,2021 Counts,1.4.3.1,2019910,,1612000,,284540,,10730,,50915,,75880,,75170,,71845,,123375,
2021,Canada,15 to 24 years,Women+,% distribution (2021),1.4.3.2,5.6,,4.4,,0.8,,0,,0.1,,0.2,,0.2,,0.2,,0.3,
2021,Canada,15 to 19 years,Total - Gender,2021 Counts,1.5.1.1,2003200,,1690055,,258740,,0,,27215,,77775,,82175,,71570,,54405,
2021,Canada,15 to 19 years,Total - Gender,% distribution (2021),1.5.1.2,5.5,,4.7,,0.7,,0,,0.1,,0.2,,0.2,,0.2,,0.1,
2021,Canada,15 to 19 years,Men+,2021 Counts,1.5.2.1,1036235,,873670,,134225,,0,,13720,,40515,,42530,,37460,,28345,
2021,Canada,15 to 19 years,Men+,% distribution (2021),1.5.2.2,2.9,,2.4,,0.4,,0,,0,,0.1,,0.1,,0.1,,0.1,
2021,Canada,15 to 19 years,Women+,2021 Counts,1.5.3.1,966960,,816380,,124520,,0,,13500,,37255,,39645,,34115,,26060,
2021,Canada,15 to 19 years,Women+,% distribution (2021),1.5.3.2,2.7,,2.2,,0.3,,0,,0,,0.1,,0.1,,0.1,,0.1,
2021,Canada,20 to 24 years,Total - Gender,2021 Counts,1.6.1.1,2177860,,1629970,,326440,,21400,,77610,,80445,,73605,,73380,,221445,
2021,Canada,20 to 24 years,Total - Gender,% distribution (2021),1.6.1.2,6,,4.5,,0.9,,0.1,,0.2,,0.2,,0.2,,0.2,,0.6,
2021,Canada,20 to 24 years,Men+,2021 Counts,1.6.2.1,1124910,,834355,,166420,,10670,,40200,,41825,,38090,,35640,,124135,
2021,Canada,20 to 24 years,Men+,% distribution (2021),1.6.2.2,3.1,,2.3,,0.5,,0,,0.1,,0.1,,0.1,,0.1,,0.3,
2021,Canada,20 to 24 years,Women+,2021 Counts,1.6.3.1,1052945,,795615,,160025,,10730,,37410,,38625,,35520,,37735,,97315,
2021,Canada,20 to 24 years,Women+,% distribution (2021),1.6.3.2,2.9,,2.2,,0.4,,0,,0.1,,0.1,,0.1,,0.1,,0.3,
2021,Canada,25 to 64 years,Total - Gender,2021 Counts,1.7.1.1,19568260,,13592395,,5423900,,2263475,,720695,,756940,,781715,,901075,,551960,
2021,Canada,25 to 64 years,Total - Gender,% distribution (2021),1.7.1.2,53.9,,37.4,,14.9,,6.2,,2,,2.1,,2.2,,2.5,,1.5,
2021,Canada,25 to 64 years,Men+,2021 Counts,1.7.2.1,9620335,,6759770,,2563290,,1080410,,337405,,349655,,364820,,430995,,297275,
2021,Canada,25 to 64 years,Men+,% distribution (2021),1.7.2.2,26.5,,18.6,,7.1,,3,,0.9,,1,,1,,1.2,,0.8,
2021,Canada,25 to 64 years,Women+,2021 Counts,1.7.3.1,9947925,,6832620,,2860610,,1183065,,383290,,407280,,416895,,470080,,254690,
2021,Canada,25 to 64 years,Women+,% distribution (2021),1.7.3.2,27.4,,18.8,,7.9,,3.3,,1.1,,1.1,,1.1,,1.3,,0.7,
